Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-May-2018,569.30,581.45,567.70,578.10,576.706082667919210897,459864,6216,265206366.00,70250,15.28,13.75,8.80
29-May-2018,571.00,587.85,569.20,575.25,578.793538307605557369,471734,8771,273036591.00,75928,16.10,18.65,4.25
28-May-2018,572.90,579.25,565.20,575.60,573.291039232073821009,409206,5658,234594133.00,47888,11.70,14.05,2.70
25-May-2018,551.50,570.20,551.50,567.20,563.730808700465842028,617806,8444,348276276.00,110721,17.92,18.70,15.70
24-May-2018,543.05,553.85,537.00,548.40,547.106377092267256882,759045,10256,415278360.00,141590,18.65,16.85,5.35
23-May-2018,576.90,576.90,536.60,539.25,551.306378934347784081,1211033,19008,667650218.00,349877,28.89,40.30,-37.65
22-May-2018,577.50,583.35,570.05,577.20,578.331786774545480475,420719,5771,243315171.00,44105,10.48,13.30,-0.30
21-May-2018,595.50,600.50,575.10,576.90,584.306579686066047527,482713,6771,282052382.00,67444,13.97,25.40,-18.60
18-May-2018,611.10,616.80,590.25,591.50,601.223585406427053234,450253,9342,270702723.00,98132,21.79,26.55,-19.60
17-May-2018,630.70,632.00,602.40,610.05,610.700232085375485055,1402932,13550,856770898.00,394046,28.09,29.60,-20.65
16-May-2018,627.00,632.50,617.20,622.05,624.011310917608950363,569273,7583,355232791.00,56816,9.98,15.30,-4.95
15-May-2018,609.30,636.30,606.30,624.05,625.486322311040405115,1785170,13653,1116599418.00,885149,49.58,30.00,14.75
14-May-2018,606.55,614.35,602.10,610.10,610.188148859990390129,322585,4490,196837544.00,47873,14.84,12.25,3.55
11-May-2018,600.00,610.50,591.00,606.65,604.206237047271291818,455985,5847,275508981.00,71307,15.64,19.50,6.65
10-May-2018,603.85,607.00,591.25,593.75,596.594951645589102942,233898,3539,139542366.00,32943,14.08,15.75,-10.10
9-May-2018,592.55,607.85,592.55,602.45,603.312983502887677175,402919,5063,243086264.00,58718,14.57,15.30,9.90
8-May-2018,598.00,603.75,590.50,596.15,596.620162616993564431,338587,4182,202007831.00,40680,12.01,13.25,-1.85
7-May-2018,585.55,597.30,581.55,595.95,591.603606512149379103,340717,5675,201569406.00,66809,19.61,15.75,10.40
4-May-2018,586.05,589.45,579.85,581.30,583.885354750918624700,225609,3717,131729791.00,25551,11.33,9.60,-4.75
3-May-2018,574.80,588.00,568.50,585.65,577.606808779808969574,395225,5501,228284651.00,55052,13.93,19.50,10.85
2-May-2018,596.70,596.70,573.35,575.05,582.523349995530772351,290878,4646,169443227.00,88840,30.54,23.35,-21.65
30-April-2018,589.00,599.60,586.15,594.70,594.974414802532175206,258118,3543,153573606.00,27885,10.80,13.45,5.70
27-April-2018,580.95,594.30,580.95,589.65,588.784505797014085639,298602,3895,175812231.00,40168,13.45,13.35,8.70
26-April-2018,587.00,591.50,578.00,579.05,581.730777022671602482,380079,4877,221103652.00,181625,47.79,13.50,-7.95
25-April-2018,596.60,598.25,585.00,586.20,589.714941644026657420,262441,8299,154765379.00,63759,24.29,13.25,-10.40
24-April-2018,595.00,602.10,590.35,598.25,595.917320051227667576,345126,5103,205666561.00,36501,10.58,11.75,3.25
23-April-2018,608.00,610.40,600.50,605.70,605.897147578229887431,242075,4688,146672552.00,34372,14.20,9.90,-2.30
20-April-2018,619.95,619.95,603.80,606.35,607.995888028883227532,452581,6923,275167387.00,71217,15.74,16.15,-13.60
19-April-2018,609.70,623.90,606.00,620.55,617.906810025341673136,682670,9524,421826442.00,99353,14.55,17.90,10.85
18-April-2018,600.50,604.70,594.90,601.50,599.661869951751593578,260734,3433,156352238.00,35659,13.68,9.80,1.00
17-April-2018,594.50,604.60,592.55,595.85,598.213556296237686434,404432,5145,241936705.00,28978,7.17,12.05,1.35
16-April-2018,592.80,596.50,585.60,592.40,590.936260032154652881,309131,3928,182676717.00,25640,8.29,10.90,-0.40
13-April-2018,599.00,604.80,592.00,595.30,597.806457088314327849,453641,5796,271189519.00,52648,11.61,12.80,-3.70
12-April-2018,606.70,608.50,596.00,598.55,602.446955412306640397,283733,3862,170934082.00,40327,14.21,12.50,-8.15
11-April-2018,609.00,610.00,600.50,607.70,606.253152038113964952,514667,6893,312018491.00,58912,11.45,9.50,-1.30
10-April-2018,591.35,603.90,591.35,601.70,599.024277194294287920,612509,8661,366907761.00,100130,16.35,12.55,10.35
9-April-2018,588.75,595.00,584.00,586.55,588.800419303847029269,478889,6263,281970044.00,56195,11.73,11.00,-2.20
6-April-2018,576.00,589.05,573.00,586.35,581.261271348958132231,466182,6089,270973542.00,53788,11.54,16.05,10.35
5-April-2018,572.35,583.00,569.55,581.00,578.094804298871852572,636353,11799,367872363.00,141075,22.17,13.45,8.65
4-April-2018,582.55,589.90,558.00,560.45,577.145468472920985193,1114867,15789,643440437.00,565795,50.75,31.90,-22.10
3-April-2018,575.00,585.45,569.00,579.50,577.533642056479987489,844122,9307,487508853.00,257611,30.52,16.45,4.50
2-April-2018,574.95,580.20,568.90,578.55,575.996527678736120698,525873,9618,302901022.00,153949,29.27,11.30,3.60
28-March-2018,580.60,583.75,565.50,570.90,571.937339317617325373,642572,10617,367510920.00,155225,24.16,18.25,-9.70
27-March-2018,590.00,598.85,587.80,590.05,592.813005395078407633,555877,12626,329531115.00,95636,17.20,11.05,0.05
26-March-2018,567.35,588.70,561.35,582.45,571.788871287715038640,675460,8270,386220511.00,127173,18.83,27.35,15.10
23-March-2018,561.00,569.25,554.10,566.60,562.380262959590234748,942198,12569,529873559.00,123299,13.09,15.15,5.60
22-March-2018,582.90,587.50,572.30,580.55,578.727572556153254808,1026343,11459,593972993.00,247952,24.16,15.20,-2.35
21-March-2018,597.30,602.25,581.10,582.35,589.377831414289294240,758190,7537,446860378.00,163966,21.63,21.15,-14.95
20-March-2018,572.50,601.20,568.55,593.30,591.586742650510652708,1376082,13266,814071868.00,383338,27.86,32.65,20.80
19-March-2018,602.00,602.00,573.10,575.05,581.731470147911897085,1040011,10942,605007128.00,389166,37.42,28.90,-26.95
16-March-2018,612.00,614.00,594.45,600.50,602.037504126774513040,969280,10636,583542912.00,315708,32.57,19.55,-11.50
15-March-2018,620.90,622.40,609.60,611.40,613.752547754766324118,819447,6831,502937684.00,334175,40.78,12.80,-9.50
14-March-2018,624.80,630.30,618.40,620.45,623.223186927896588051,829614,6813,517034681.00,304906,36.75,11.90,-4.35
13-March-2018,621.00,632.20,614.40,628.30,626.388710840680996302,1575104,10309,986627364.00,540306,34.30,17.80,7.30
12-March-2018,615.00,626.00,606.60,622.70,615.948785070975204169,1110106,13369,683768442.00,395394,35.62,19.40,7.70
9-March-2018,640.10,646.45,601.00,605.60,617.724666513695029886,1228986,15209,759174967.00,216657,17.63,45.45,-34.50
8-March-2018,654.55,660.40,632.40,635.20,640.849084912350668083,621853,7008,398513926.00,152336,24.50,28.00,-19.35
7-March-2018,655.10,661.05,645.20,648.00,651.084153396798219800,728907,18577,474579797.00,229304,31.46,15.85,-7.10
6-March-2018,662.95,673.50,657.20,660.50,666.342758637574646050,898574,18425,598758278.00,410307,45.66,16.30,-2.45
5-March-2018,668.55,669.00,652.05,655.35,658.115852836171073625,785954,23299,517248787.00,305416,38.86,16.95,-13.20
1-March-2018,671.00,684.80,670.70,675.30,677.174413304379584776,353207,5819,239182743.00,60546,17.14,14.10,4.30
28-February-2018,666.50,674.80,660.45,671.70,668.696285898624758055,432433,8186,289166341.00,99352,22.98,14.35,5.20
27-February-2018,683.00,686.75,670.10,671.85,679.285249828362193912,655450,10054,445237517.00,258801,39.48,16.65,-11.15
26-February-2018,678.70,692.00,672.55,680.25,681.876399279200567902,769146,8948,524462505.00,269825,35.08,19.45,1.55
23-February-2018,640.10,684.35,640.00,677.80,669.230099603521335185,1415713,22532,947437752.00,314137,22.19,44.35,37.70
22-February-2018,639.90,647.50,634.00,637.85,641.096769806188371302,514675,7185,329956480.00,95775,18.61,13.50,-2.05
21-February-2018,655.40,655.40,633.00,640.55,640.955799372142848959,698248,10310,447546105.00,139272,19.95,22.40,-14.85
20-February-2018,654.00,661.35,648.20,650.75,654.735059036961474793,654844,9357,428749325.00,105290,16.08,13.15,-3.25
19-February-2018,690.80,692.00,639.00,648.25,654.376869609491922916,1296260,17100,848242561.00,254368,19.62,53.00,-42.55
16-February-2018,705.40,709.35,683.85,688.30,695.750632031419393920,447367,6883,311255873.00,93884,20.99,25.50,-17.10
15-February-2018,711.80,718.40,696.05,699.85,707.461469482418358086,555352,7273,392890142.00,135898,24.47,22.35,-11.95
14-February-2018,718.00,720.60,705.25,708.35,711.056820244737438209,1244926,6892,885213123.00,770922,61.93,15.35,-9.65
12-February-2018,718.00,718.00,697.80,712.50,710.920819858024293753,1335158,19154,949191620.00,464747,34.81,20.20,-5.50
9-February-2018,665.40,688.35,661.00,683.65,681.406776208759595523,1148843,14119,782829405.00,229808,20.00,27.35,18.25
8-February-2018,660.90,676.90,654.00,671.35,666.401417644234521052,756043,7996,503828127.00,258958,34.25,22.90,10.45
7-February-2018,666.50,682.05,656.95,660.55,667.507757978030663660,445348,7852,297273245.00,88506,19.87,25.10,-5.95
6-February-2018,639.05,679.25,634.40,664.95,652.955850261121303714,909156,10534,593638729.00,142893,15.72,44.85,25.90
5-February-2018,664.00,673.80,650.80,664.55,662.120389218875921559,335030,4948,221830194.00,51001,15.22,23.00,0.55
2-February-2018,690.00,692.50,666.00,669.70,681.411662233304441759,468418,7463,319185488.00,104077,22.22,26.50,-20.30
1-February-2018,706.25,712.65,682.20,696.30,696.058796334516635020,666215,9179,463724811.00,136963,20.56,30.45,-9.95
31-January-2018,732.50,747.25,702.05,705.05,719.246490020086129977,981772,10483,706136065.00,425907,43.38,45.20,-27.45
30-January-2018,779.05,783.65,771.75,775.55,776.179069009571765167,346749,3938,269139316.00,100594,29.01,11.90,-3.50
29-January-2018,770.00,790.60,770.00,782.75,784.713127655722516267,469505,6131,368426737.00,126306,26.90,20.60,12.75
25-January-2018,767.00,773.25,759.15,769.00,765.977552998873729381,280572,3561,214911854.00,63631,22.68,14.10,2.00
24-January-2018,780.00,780.95,754.85,763.40,767.031127627138856032,310271,5228,237987515.00,74234,23.93,26.10,-16.60
23-January-2018,753.80,786.85,752.90,780.05,777.591230499171755630,566258,9206,440317255.00,133740,23.62,33.95,26.25
22-January-2018,753.30,756.25,747.90,752.10,751.879304372211179202,242486,3950,182320205.00,72651,29.96,8.35,-1.20
19-January-2018,752.00,762.00,742.70,751.65,751.587605476045058969,453539,4127,340874291.00,244103,53.82,19.30,-0.35
18-January-2018,777.00,779.75,746.65,751.85,757.297901357471270982,347558,5094,263204944.00,55527,15.98,33.10,-25.15
17-January-2018,768.10,777.15,757.00,774.25,767.948629563936949901,179286,3088,137682438.00,33182,18.51,20.15,6.15
16-January-2018,782.00,783.00,760.75,766.30,768.902086216225274962,208847,3014,160582894.00,29548,14.15,22.25,-15.70
15-January-2018,774.00,792.55,771.50,783.20,785.390906951850391221,301747,4776,236989350.00,68563,22.72,21.05,9.20
12-January-2018,771.20,776.45,760.00,771.05,769.994183778934846623,205116,2589,157938127.00,25051,12.21,16.45,-0.15
11-January-2018,771.55,777.60,768.20,771.60,772.525716074707227112,306637,2305,236884968.00,150232,48.99,9.40,0.05
10-January-2018,772.00,775.00,762.70,771.85,766.892502170158150829,563323,2910,432008185.00,393842,69.91,12.30,-0.15
9-January-2018,769.00,780.10,768.00,772.30,773.980706593793657515,252677,3811,195567123.00,69312,27.43,12.10,3.30
8-January-2018,775.15,780.00,765.10,768.95,769.516740329895715977,415404,4018,319660332.00,219444,52.83,14.90,-6.20
5-January-2018,760.00,776.00,760.00,770.30,770.633691374314809267,437287,6662,336988095.00,113676,26.00,16.00,10.30
4-January-2018,735.50,764.00,731.95,760.75,751.983420174159183618,809719,9953,608895263.00,254910,31.48,32.05,25.25
3-January-2018,732.60,736.75,730.85,733.30,733.890152330713747443,148624,1971,109073690.00,22859,15.38,5.90,0.70
2-January-2018,723.30,730.75,715.55,729.10,724.630543798685792394,242884,2971,176001165.00,46439,19.12,15.20,5.80
1-January-2018,732.50,735.70,721.20,723.70,730.599849670299634425,234152,2176,171071416.00,123153,52.60,14.50,-8.80
29-December-2017,736.00,744.35,730.00,732.45,736.218620086803614445,196766,2954,144862793.00,38838,19.74,14.35,-3.55
28-December-2017,723.00,737.95,723.00,734.65,733.165433661695085123,682479,5354,500370012.00,383864,56.25,14.95,11.65
27-December-2017,724.00,728.80,717.55,721.80,724.125544950836079690,221809,3387,160617563.00,48927,22.06,11.25,-2.20
26-December-2017,714.00,724.00,712.75,721.40,719.063329223739127484,265233,3804,190719324.00,73291,27.63,11.25,7.40
22-December-2017,717.40,717.40,707.20,710.60,711.371169522542006321,180330,2555,128281563.00,32299,17.91,10.20,-6.80
21-December-2017,702.00,717.80,702.00,715.50,711.250808170376938753,321405,4145,228599566.00,73874,22.98,15.80,13.50
20-December-2017,718.00,718.00,692.65,702.55,702.734288534951152289,418341,6408,293982565.00,58569,14.00,25.35,-15.45
19-December-2017,709.00,712.00,705.25,710.30,708.978221104937788559,204464,3397,144960523.00,45390,22.20,6.75,1.30
18-December-2017,693.00,714.50,675.00,704.70,702.442742244350823439,368151,4961,258604998.00,68704,18.66,39.50,11.70
15-December-2017,692.20,699.70,692.00,694.95,695.001135658224619722,207809,3670,144427491.00,70569,33.96,7.70,2.75
14-December-2017,684.00,689.00,671.05,685.85,680.522387288827954060,212978,3253,144936297.00,64049,30.07,17.95,1.85
13-December-2017,690.00,693.75,676.70,682.10,685.189774988714466464,314562,4467,215534666.00,52125,16.57,17.05,-7.90
12-December-2017,700.85,708.25,686.75,689.20,697.688706670591368459,356715,4144,248876027.00,43587,12.22,21.50,-11.65
11-December-2017,701.90,706.35,695.40,700.00,700.579810420817484755,248445,3537,174055551.00,55647,22.40,10.95,-1.90
8-December-2017,689.90,713.00,685.25,696.85,702.227507714731436249,526914,6667,370013505.00,66919,12.70,27.75,6.95
7-December-2017,669.00,689.60,669.00,687.90,681.904140548232982075,295130,4255,201250369.00,65355,22.14,20.60,18.90
6-December-2017,667.90,670.00,660.60,668.05,665.564736539850933364,323882,5168,215564438.00,93106,28.75,9.40,0.15
5-December-2017,685.00,686.70,671.20,675.95,676.252307803913745261,165417,3712,111863628.00,39014,23.59,15.50,-9.05
4-December-2017,683.00,692.10,681.00,687.70,687.831781231507147973,224749,3178,154589505.00,51240,22.80,11.10,4.70
1-December-2017,696.00,698.00,677.50,680.70,686.008365852173971852,295726,4195,202870510.00,62585,21.16,20.50,-15.30
30-November-2017,706.55,707.00,691.40,695.15,701.090732068860964188,148415,2401,104052381.00,38030,25.62,15.60,-11.40
29-November-2017,704.00,710.60,703.00,709.30,707.008272051081178977,237426,2701,167862146.00,52819,22.25,7.60,5.30
28-November-2017,702.00,711.90,697.80,704.25,705.996070798391937860,219892,2932,155242888.00,46105,20.97,14.10,2.25
27-November-2017,707.00,708.50,698.95,701.85,701.631884013758494192,131119,1931,91997271.00,38756,29.56,9.55,-5.15
